ride_id,driver_id,pickup_location_id,dropoff_location_id,pickup_datetime,trip_duration_minutes,fare_amount
6864,390,68,142,2025-12-01 15:15:00,33,53.92
9913,274,50,167,2025-12-01 15:16:00,12,18.7
2594,24,214,190,2025-12-01 15:22:00,31,50.71
13498,18,122,124,2025-12-01 15:51:00,39,62.82
13984,17,197,53,2025-12-01 15:52:00,14,23.95
19489,97,216,127,2025-12-01 16:04:00,51,81.81
1774,495,93,35,2025-12-01 16:09:00,21,32.16
8295,368,218,25,2025-12-01 16:13:00,15,23.78
4426,367,89,207,2025-12-01 16:15:00,24,41.11
17079,469,202,119,2025-12-01 16:17:00,31,52.77
920,207,206,172,2025-12-01 16:23:00,23,39.07
16758,277,209,205,2025-12-01 16:25:00,10,20.49
7832,454,103,148,2025-12-01 16:26:00,27,43.67
10937,141,246,253,2025-12-01 16:35:00,60,90.09
3578,233,122,222,2025-12-01 16:41:00,25,45.65
17313,25,152,214,2025-12-01 16:47:00,53,83.21
6310,429,168,29,2025-12-01 16:48:00,47,72.5
10596,258,232,175,2025-12-01 16:50:00,47,76.01
17811,96,236,57,2025-12-01 17:01:00,55,83.77
9590,109,18,166,2025-12-01 17:07:00,31,47.52
11212,392,144,223,2025-12-01 17:15:00,38,56.99
13253,457,261,171,2025-12-01 17:24:00,33,52.8
9369,499,30,97,2025-12-01 17:31:00,48,71.46
5346,378,43,40,2025-12-01 17:45:00,6,13.75
9185,62,75,166,2025-12-01 17:57:00,11,18.04
982,308,100,117,2025-12-01 17:59:00,57,88.7
5576,300,102,231,2025-12-01 18:00:00,38,59.67
4140,331,121,70,2025-12-01 18:09:00,41,66.02
3714,194,58,38,2025-12-01 18:21:00,28,47.04
14271,266,133,117,2025-12-01 18:22:00,59,89.68
7043,106,233,46,2025-12-01 18:26:00,16,26.32
12531,298,193,223,2025-12-01 18:35:00,20,31.39
3781,500,105,183,2025-12-01 19:16:00,10,19.05
17650,210,40,145,2025-12-01 19:19:00,27,43.25
3051,296,182,9,2025-12-01 19:30:00,43,65.18
15,362,24,95,2025-12-01 19:35:00,24,37.62
15374,107,42,265,2025-12-01 19:35:00,17,27.48
19981,366,38,119,2025-12-01 19:43:00,25,36.77
15060,9,127,13,2025-12-01 19:43:00,10,17.99
4086,376,191,163,2025-12-01 19:48:00,19,32.97
4552,376,89,167,2025-12-01 19:50:00,51,78.99
15824,395,147,99,2025-12-01 19:51:00,58,92.7
9361,302,120,39,2025-12-01 20:04:00,53,82.64
18937,315,232,127,2025-12-01 20:15:00,5,8.19
18792,58,21,69,2025-12-01 20:22:00,5,7.83
15020,493,66,86,2025-12-01 20:30:00,17,27.22
18923,232,188,60,2025-12-01 20:31:00,44,70.19
6464,132,114,74,2025-12-01 20:36:00,9,16.46
4403,72,35,20,2025-12-01 20:40:00,48,74.1
12514,78,114,89,2025-12-01 20:40:00,53,78.73
17447,463,122,9,2025-12-01 20:49:00,37,55.92
12503,123,47,128,2025-12-01 21:08:00,7,13.1
15663,199,4,82,2025-12-01 21:25:00,5,7.53
17085,460,239,116,2025-12-01 21:25:00,34,55.14
8337,416,138,9,2025-12-01 21:29:00,11,22.15
69,229,120,113,2025-12-01 21:41:00,23,35.17
1517,25,68,98,2025-12-01 21:44:00,36,56.08
15525,151,209,61,2025-12-01 21:56:00,29,48.35
9868,370,70,227,2025-12-01 22:01:00,29,48.77
5614,200,158,208,2025-12-01 22:02:00,59,90.62
5745,101,75,253,2025-12-01 22:02:00,52,78.91
16596,221,233,120,2025-12-01 22:16:00,17,28.75
11158,93,84,40,2025-12-01 22:22:00,34,58.32
11744,289,251,46,2025-12-01 22:37:00,8,16.2
16077,162,251,233,2025-12-01 22:38:00,41,64.87
6627,291,179,129,2025-12-01 22:45:00,21,38.44
19419,317,187,224,2025-12-01 22:52:00,19,33.62
11113,91,156,105,2025-12-01 22:53:00,29,45.19
19429,481,208,11,2025-12-01 22:55:00,28,47.79
373,42,145,232,2025-12-01 22:57:00,8,17.64
4323,33,151,151,2025-12-01 22:59:00,48,78.36
12686,381,99,30,2025-12-01 23:00:00,20,35.59
18458,500,195,237,2025-12-01 23:01:00,47,69.61
15836,408,84,120,2025-12-01 23:05:00,20,34.01
1392,439,49,152,2025-12-01 23:08:00,54,85.61
17171,318,148,27,2025-12-01 23:15:00,25,40.9
14872,270,225,14,2025-12-01 23:26:00,57,88.26
4949,371,127,54,2025-12-01 23:35:00,49,77.95
15473,66,35,265,2025-12-01 23:38:00,23,42.0
17448,86,210,253,2025-12-01 23:40:00,36,59.08
16098,440,221,106,2025-12-01 23:42:00,49,75.37
8671,229,67,7,2025-12-01 23:43:00,48,75.67
7197,287,242,245,2025-12-01 23:43:00,47,68.92
6905,193,34,220,2025-12-01 23:49:00,60,91.89
14965,434,82,251,2025-12-01 23:58:00,18,32.89
15571,47,104,18,2025-12-02 00:00:00,30,47.44
14218,154,12,8,2025-12-02 00:01:00,27,44.98
17289,110,103,101,2025-12-02 00:04:00,13,21.68
19751,131,105,217,2025-12-02 00:07:00,16,23.3
5905,335,69,128,2025-12-02 00:33:00,6,12.45
11393,379,40,106,2025-12-02 00:43:00,42,63.7
14505,27,96,174,2025-12-02 01:04:00,23,38.63
7241,317,158,233,2025-12-02 01:14:00,55,86.89
16293,465,154,173,2025-12-02 01:20:00,9,17.37
5667,357,45,38,2025-12-02 01:26:00,40,60.1
11467,392,66,7,2025-12-02 01:29:00,29,44.56
7487,416,126,48,2025-12-02 01:39:00,52,77.57
13864,458,94,150,2025-12-02 01:54:00,30,47.74
9042,43,119,237,2025-12-02 02:11:00,49,73.99
11623,396,215,98,2025-12-02 02:17:00,18,28.72
1706,304,254,160,2025-12-02 02:22:00,27,46.03
9991,259,20,148,2025-12-02 02:30:00,33,51.71
8555,356,98,163,2025-12-02 02:39:00,59,93.88
5338,198,241,111,2025-12-02 02:55:00,15,27.52
14234,441,243,7,2025-12-02 03:04:00,49,75.08
15247,470,137,98,2025-12-02 03:11:00,55,84.92
16817,32,151,251,2025-12-02 03:15:00,53,83.74
15696,32,185,150,2025-12-02 03:17:00,22,39.58
4559,78,180,44,2025-12-02 03:19:00,19,30.49
4790,220,73,198,2025-12-02 03:20:00,38,61.59
3828,155,162,173,2025-12-02 03:24:00,25,38.7
16849,395,146,44,2025-12-02 03:26:00,13,25.77
863,143,259,194,2025-12-02 03:28:00,23,36.88
17329,197,216,90,2025-12-02 03:49:00,19,33.49
7859,353,6,138,2025-12-02 03:51:00,46,71.51
9584,70,129,11,2025-12-02 03:56:00,46,71.7
12857,463,85,223,2025-12-02 04:08:00,57,89.11
2314,15,200,134,2025-12-02 04:10:00,6,14.94
14960,410,184,10,2025-12-02 04:10:00,37,57.22
2520,83,205,8,2025-12-02 04:17:00,20,32.09
11252,352,120,155,2025-12-02 04:38:00,6,8.39
4912,239,32,257,2025-12-02 04:56:00,32,52.26
5780,156,119,164,2025-12-02 05:05:00,46,70.64
16588,42,14,238,2025-12-02 05:07:00,11,18.28
4298,385,26,139,2025-12-02 05:24:00,42,68.13
4827,333,172,203,2025-12-02 05:31:00,15,27.5
15668,238,184,265,2025-12-02 05:56:00,59,89.57
4332,205,136,178,2025-12-02 06:02:00,40,62.68
2515,125,253,98,2025-12-02 06:14:00,43,64.34
2861,101,216,70,2025-12-02 06:19:00,17,28.91
10996,141,198,202,2025-12-02 06:26:00,19,29.05
4312,335,137,155,2025-12-02 06:29:00,40,61.38
5955,170,212,82,2025-12-02 06:35:00,53,81.55
4256,131,191,230,2025-12-02 06:37:00,56,85.59
15454,199,246,151,2025-12-02 06:39:00,51,79.41
3195,238,37,246,2025-12-02 06:49:00,28,46.48
8663,310,232,221,2025-12-02 06:51:00,37,58.21
2042,317,222,36,2025-12-02 06:56:00,26,43.08
2717,294,34,13,2025-12-02 07:02:00,56,86.46
14665,149,91,97,2025-12-02 07:14:00,28,47.77
4888,61,248,225,2025-12-02 07:14:00,48,72.29
18017,187,52,101,2025-12-02 07:18:00,27,41.16
16486,485,197,131,2025-12-02 07:24:00,51,80.89
12840,59,128,177,2025-12-02 07:29:00,22,34.98
7107,377,193,228,2025-12-02 07:38:00,14,20.72
9553,348,152,31,2025-12-02 07:40:00,38,59.08
16481,478,181,256,2025-12-02 07:40:00,9,15.64
2354,442,196,41,2025-12-02 07:41:00,60,93.24
4900,401,78,156,2025-12-02 08:01:00,39,63.7
18830,208,250,112,2025-12-02 08:07:00,47,72.12
3880,13,202,141,2025-12-02 08:10:00,57,89.83
12411,194,34,234,2025-12-02 08:18:00,5,10.96
15136,182,141,65,2025-12-02 08:29:00,46,71.37
14750,397,142,211,2025-12-02 08:48:00,34,56.27
7987,372,39,140,2025-12-02 08:50:00,34,54.5
9435,120,202,96,2025-12-02 08:54:00,22,36.21
10765,69,163,107,2025-12-02 08:57:00,29,45.96
10354,340,169,127,2025-12-02 08:59:00,56,87.05
8769,91,147,99,2025-12-02 09:06:00,28,47.02
16694,48,223,199,2025-12-02 09:21:00,51,80.19
6640,230,241,203,2025-12-02 09:25:00,38,61.9
15979,148,254,26,2025-12-02 09:30:00,33,55.04
16975,139,62,35,2025-12-02 09:38:00,47,76.44
2385,316,39,217,2025-12-02 09:39:00,25,42.3
15081,177,8,112,2025-12-02 09:47:00,8,15.71
2175,240,222,205,2025-12-02 09:48:00,53,81.06
15030,162,254,7,2025-12-02 09:56:00,26,40.9
12317,279,118,155,2025-12-02 10:15:00,40,63.6
7213,87,185,169,2025-12-02 10:24:00,14,22.88
17246,153,139,261,2025-12-02 10:32:00,41,64.09
5918,142,158,190,2025-12-02 10:44:00,15,28.63
12831,325,24,227,2025-12-02 10:48:00,20,33.91
10848,327,79,264,2025-12-02 11:00:00,54,83.39
16105,271,178,123,2025-12-02 11:12:00,51,83.7
5896,261,251,105,2025-12-02 11:17:00,30,44.82
4812,199,186,180,2025-12-02 11:22:00,33,54.21
14001,382,79,81,2025-12-02 11:35:00,46,74.45
5070,274,83,242,2025-12-02 11:38:00,8,15.84
1664,459,222,209,2025-12-02 11:42:00,47,71.11
13777,60,65,156,2025-12-02 11:58:00,15,26.57
5194,261,84,180,2025-12-02 12:00:00,13,22.62
6676,331,242,91,2025-12-02 12:05:00,8,13.49
9619,213,44,90,2025-12-02 12:21:00,6,14.88
6789,498,80,127,2025-12-02 12:31:00,45,71.11
2202,229,97,32,2025-12-02 12:57:00,18,29.78
6343,393,236,156,2025-12-02 13:02:00,60,91.4
5957,9,176,158,2025-12-02 13:15:00,10,17.78
8517,131,37,163,2025-12-02 13:43:00,38,58.65
13883,435,263,101,2025-12-02 13:49:00,45,68.34
6572,420,209,70,2025-12-02 13:54:00,9,16.5
18918,358,161,258,2025-12-02 13:55:00,47,72.13
7470,412,262,100,2025-12-02 14:01:00,47,73.03
12006,469,45,44,2025-12-02 14:16:00,32,52.04
888,143,28,225,2025-12-02 14:19:00,12,24.27
5392,339,49,8,2025-12-02 14:25:00,14,25.56
14307,381,167,197,2025-12-02 14:32:00,9,17.83
907,449,72,264,2025-12-02 14:55:00,14,23.8
7553,247,253,211,2025-12-02 14:56:00,45,71.44
106,113,235,37,2025-12-02 15:01:00,27,44.15
8713,211,189,148,2025-12-02 15:07:00,15,26.64
1486,473,98,77,2025-12-02 15:08:00,50,79.15
8569,202,170,169,2025-12-02 15:17:00,53,80.99
1869,397,209,33,2025-12-02 15:28:00,17,29.82
10732,223,48,129,2025-12-02 15:32:00,22,35.38
19348,278,221,5,2025-12-02 15:43:00,18,30.79
8347,432,108,243,2025-12-02 15:49:00,55,84.7
15953,437,104,220,2025-12-02 15:49:00,39,64.3
16815,427,136,24,2025-12-02 15:58:00,56,86.32
3687,271,120,208,2025-12-02 15:58:00,34,56.37
5031,447,8,45,2025-12-02 16:16:00,37,56.8
12004,435,83,145,2025-12-02 16:25:00,30,45.9
2283,489,148,23,2025-12-02 16:28:00,49,78.61
6856,98,122,113,2025-12-02 16:30:00,59,90.92
1326,417,192,206,2025-12-02 16:31:00,44,71.32
16149,299,61,18,2025-12-02 16:35:00,9,12.96
2236,29,187,180,2025-12-02 16:41:00,54,84.14
4320,70,161,265,2025-12-02 16:53:00,49,73.24
4073,221,236,4,2025-12-02 16:55:00,41,63.04
14273,46,3,42,2025-12-02 17:01:00,15,26.8
238,255,145,106,2025-12-02 17:02:00,13,20.69
13655,48,240,25,2025-12-02 17:11:00,59,92.56
12819,260,178,254,2025-12-02 17:20:00,35,55.5
7833,55,40,211,2025-12-02 17:25:00,31,47.44
11631,108,27,204,2025-12-02 18:09:00,50,82.96
14035,342,38,136,2025-12-02 18:10:00,19,32.05
10480,28,67,247,2025-12-02 18:27:00,10,15.53
9268,202,242,121,2025-12-02 18:29:00,16,25.49
5418,267,68,8,2025-12-02 18:46:00,15,24.42
19219,135,99,1,2025-12-02 18:52:00,29,50.27
3399,320,102,129,2025-12-02 18:54:00,18,31.6
7244,396,19,245,2025-12-02 18:57:00,41,0.0
4292,36,75,5,2025-12-02 19:06:00,5,6.39
13363,469,259,13,2025-12-02 19:12:00,5,12.11
18960,380,193,7,2025-12-02 19:17:00,27,43.67
13045,29,115,73,2025-12-02 19:17:00,13,22.33
17799,482,89,104,2025-12-02 19:20:00,9,14.91
18677,98,46,58,2025-12-02 19:23:00,60,93.97
5273,89,25,71,2025-12-02 19:25:00,48,74.93
8409,165,160,134,2025-12-02 19:25:00,54,83.37
5996,403,21,25,2025-12-02 19:28:00,15,28.35
7749,161,7,151,2025-12-02 19:30:00,17,29.96
14070,31,243,27,2025-12-02 19:30:00,32,51.29
12858,480,157,134,2025-12-02 19:35:00,41,65.52
4663,165,252,180,2025-12-02 19:41:00,31,45.65
19056,273,178,195,2025-12-02 19:48:00,14,28.84
7834,394,199,228,2025-12-02 19:49:00,49,77.33
1397,240,138,1,2025-12-02 19:53:00,10,15.73
19327,220,264,206,2025-12-02 19:57:00,6,11.34
7905,441,180,94,2025-12-02 20:00:00,12,23.18
801,170,9,154,2025-12-02 20:02:00,18,30.78
11808,416,140,155,2025-12-02 20:17:00,35,53.39
11823,190,226,129,2025-12-02 20:24:00,32,55.08
13225,147,81,229,2025-12-02 20:33:00,35,54.87
7559,124,144,52,2025-12-02 20:36:00,48,76.27
5921,438,228,114,2025-12-02 20:40:00,45,69.67
3282,393,212,202,2025-12-02 20:40:00,41,63.53
8423,416,90,124,2025-12-02 20:41:00,49,75.19
14481,472,250,25,2025-12-02 20:49:00,57,90.23
18082,339,213,101,2025-12-02 21:01:00,43,68.95
19872,78,127,211,2025-12-02 21:06:00,26,41.05
7088,230,228,183,2025-12-02 21:08:00,10,13.62
19157,285,107,189,2025-12-02 21:13:00,27,42.38
19046,279,108,220,2025-12-02 21:14:00,56,87.57
2226,37,39,131,2025-12-02 21:17:00,20,34.71
8723,298,190,221,2025-12-02 21:20:00,33,52.99
18777,397,258,195,2025-12-02 21:29:00,10,17.43
18386,265,112,120,2025-12-02 21:29:00,44,66.24
6133,180,197,134,2025-12-02 21:36:00,55,85.37
16397,245,144,221,2025-12-02 21:39:00,50,77.75
19204,93,55,150,2025-12-02 21:44:00,8,12.99
8695,491,124,49,2025-12-02 21:48:00,9,19.09
9672,298,169,42,2025-12-02 21:54:00,37,60.77
10928,372,7,127,2025-12-02 21:58:00,6,11.82
15609,433,34,125,2025-12-02 22:04:00,55,84.92
14763,237,215,224,2025-12-02 22:10:00,20,33.74
6781,118,174,260,2025-12-02 22:11:00,47,75.82
18473,302,150,227,2025-12-02 22:19:00,29,45.68
8967,315,133,116,2025-12-02 22:23:00,52,80.65
14444,422,184,257,2025-12-02 22:24:00,48,73.17
4962,470,3,68,2025-12-02 22:31:00,16,24.6
14787,181,24,82,2025-12-02 22:39:00,10,25.03
13982,498,87,248,2025-12-02 22:40:00,51,78.55
2723,178,164,164,2025-12-02 22:47:00,39,59.82
15548,194,124,58,2025-12-02 22:51:00,53,79.87
6975,168,262,157,2025-12-02 22:55:00,35,53.32
6711,423,190,69,2025-12-02 22:58:00,52,77.51
17516,323,197,253,2025-12-02 23:02:00,36,58.47
14175,107,112,223,2025-12-02 23:05:00,12,21.92
9083,342,143,154,2025-12-02 23:13:00,53,82.27
12692,380,62,105,2025-12-02 23:28:00,13,25.79
11080,76,251,41,2025-12-02 23:38:00,36,54.5
2298,284,131,125,2025-12-02 23:39:00,12,22.0
16186,208,42,2,2025-12-02 23:59:00,38,58.76
14977,83,168,229,2025-12-03 00:01:00,51,78.15
18611,280,208,180,2025-12-03 00:07:00,27,42.35
2252,476,251,237,2025-12-03 00:32:00,32,54.76
13051,30,250,128,2025-12-03 00:32:00,27,41.61
15150,57,67,204,2025-12-03 00:51:00,22,36.89
825,411,249,62,2025-12-03 00:57:00,36,54.99
15747,232,154,41,2025-12-03 01:18:00,41,63.25
16973,220,199,101,2025-12-03 01:36:00,29,47.84
13687,319,13,254,2025-12-03 01:40:00,16,28.12
3302,167,120,129,2025-12-03 01:40:00,10,20.84
3047,18,158,83,2025-12-03 01:45:00,46,68.91
5724,397,66,105,2025-12-03 01:48:00,21,32.46
19509,381,110,50,2025-12-03 01:54:00,21,34.79
10154,167,137,30,2025-12-03 01:57:00,43,65.88
4161,466,47,255,2025-12-03 02:01:00,16,27.92
19334,461,32,28,2025-12-03 02:03:00,43,68.45
19183,369,179,232,2025-12-03 02:05:00,17,26.91
8369,101,94,15,2025-12-03 02:09:00,13,23.79
8170,314,90,52,2025-12-03 02:15:00,5,9.68
5297,146,46,30,2025-12-03 02:17:00,51,82.54
6230,393,223,250,2025-12-03 02:21:00,30,46.23
4001,400,44,265,2025-12-03 02:24:00,21,34.04
7667,331,57,132,2025-12-03 02:33:00,5,13.5
3344,85,32,49,2025-12-03 02:35:00,25,43.26
17914,413,29,69,2025-12-03 02:44:00,30,49.12
12075,217,92,224,2025-12-03 02:46:00,18,28.78
5653,310,181,128,2025-12-03 02:48:00,38,57.02
16456,234,237,237,2025-12-03 02:54:00,48,75.38
19747,65,215,104,2025-12-03 02:54:00,6,14.71
12530,487,194,68,2025-12-03 02:57:00,56,89.69
10967,285,127,244,2025-12-03 03:00:00,35,55.73
10247,139,192,19,2025-12-03 03:01:00,49,72.43
13248,246,127,37,2025-12-03 03:03:00,11,18.52
12561,200,179,255,2025-12-03 03:04:00,5,11.58
1494,291,79,183,2025-12-03 03:05:00,7,14.18
6879,12,179,241,2025-12-03 03:10:00,47,75.04
12609,242,28,255,2025-12-03 03:12:00,43,66.76
13370,48,201,103,2025-12-03 03:18:00,21,34.37
7718,89,146,193,2025-12-03 03:28:00,14,25.86
3252,108,212,215,2025-12-03 03:58:00,31,50.33
15432,53,115,223,2025-12-03 04:00:00,45,68.63
10645,17,253,10,2025-12-03 04:20:00,57,91.75
17065,392,12,48,2025-12-03 04:25:00,23,34.49
18048,304,112,46,2025-12-03 04:32:00,51,82.51
4830,336,210,67,2025-12-03 04:41:00,59,93.99
12535,131,235,99,2025-12-03 04:47:00,20,30.9
2719,294,23,181,2025-12-03 04:51:00,41,64.44
5851,140,139,201,2025-12-03 05:02:00,58,89.43
14348,395,190,258,2025-12-03 05:03:00,35,57.26
3501,490,206,238,2025-12-03 05:09:00,59,91.26
8334,322,200,128,2025-12-03 05:16:00,55,84.61
13636,346,70,141,2025-12-03 05:16:00,27,43.12
19870,17,245,212,2025-12-03 05:24:00,9,17.4
7682,342,235,141,2025-12-03 05:25:00,16,28.96
14814,206,81,48,2025-12-03 05:31:00,45,68.62
16691,41,175,33,2025-12-03 05:33:00,37,59.04
6157,474,90,238,2025-12-03 05:47:00,27,42.61
8237,343,216,119,2025-12-03 05:49:00,39,61.14
14899,18,40,131,2025-12-03 05:59:00,37,60.53
15037,368,26,15,2025-12-03 06:01:00,52,78.66
6302,216,130,105,2025-12-03 06:04:00,41,67.64
15453,115,253,202,2025-12-03 06:07:00,33,51.92
19501,169,9,43,2025-12-03 06:10:00,13,21.39
