driver_id,vehicle_type,rating,status
326,economy,4.0,active
327,sedan,4.9,active
328,economy,4.7,active
329,sedan,3.2,active
330,minivan,4.3,inactive
331,economy,4.3,active
332,suv,3.0,active
333,minivan,3.5,active
334,sedan,4.6,active
335,sedan,4.9,active
336,suv,3.4,active
337,sedan,4.8,inactive
338,sedan,3.3,inactive
339,economy,4.9,active
340,economy,3.9,active
341,minivan,3.1,active
342,sedan,4.2,active
343,economy,3.2,active
344,sedan,4.4,inactive
345,suv,4.5,inactive
346,economy,4.0,active
347,sedan,4.1,active
348,suv,4.8,active
349,suv,4.3,active
350,suv,3.8,active
351,economy,4.7,active
352,minivan,4.6,inactive
353,sedan,3.0,active
354,sedan,3.1,active
355,sedan,3.9,active
356,sedan,4.2,active
357,sedan,4.3,active
358,suv,3.6,inactive
359,suv,5.0,active
360,sedan,3.1,inactive
361,suv,4.7,active
362,suv,4.1,active
363,suv,3.4,inactive
364,suv,4.4,active
365,minivan,3.3,active
366,economy,4.3,active
367,economy,4.7,active
368,sedan,4.9,active
369,economy,3.8,active
370,sedan,4.0,active
371,economy,3.2,active
372,economy,3.2,active
373,sedan,4.9,active
374,sedan,3.5,active
375,sedan,3.3,active
376,sedan,4.1,active
377,economy,4.0,active
378,minivan,3.7,active
379,sedan,4.0,active
380,sedan,4.8,active
381,sedan,4.8,active
382,sedan,4.0,active
383,economy,3.8,active
384,sedan,3.3,inactive
385,sedan,4.7,active
386,sedan,4.2,active
387,sedan,4.5,inactive
388,minivan,3.7,active
389,sedan,3.8,active
390,sedan,3.4,active
391,sedan,3.8,active
392,sedan,4.8,active
393,sedan,3.3,active
394,sedan,3.7,active
395,sedan,3.7,inactive
396,sedan,4.5,active
397,sedan,4.2,inactive
398,sedan,3.5,active
399,economy,3.6,active
400,sedan,4.9,active
401,sedan,4.3,inactive
402,minivan,4.7,active
403,economy,4.7,active
404,sedan,4.7,active
405,sedan,3.4,active
406,economy,3.5,active
407,sedan,3.7,inactive
408,sedan,5.0,active
409,sedan,3.0,active
410,sedan,4.9,active
411,economy,3.2,inactive
412,suv,3.0,active
413,sedan,3.2,active
414,economy,3.3,active
415,suv,4.4,active
416,suv,4.5,active
417,economy,4.5,active
418,economy,5.0,active
419,sedan,3.9,active
420,suv,4.8,active
421,economy,4.4,active
422,sedan,3.9,active
423,sedan,4.6,active
424,suv,4.7,active
425,economy,3.7,active
426,sedan,3.4,inactive
427,suv,3.8,active
428,sedan,4.6,inactive
429,economy,3.2,active
430,economy,5.0,active
431,economy,4.3,active
432,sedan,4.9,inactive
433,sedan,4.0,active
434,suv,4.1,active
435,suv,3.6,active
436,sedan,4.8,active
437,suv,4.8,active
438,economy,3.5,active
439,sedan,4.4,active
440,suv,4.0,active
441,suv,3.8,active
442,economy,3.0,inactive
443,suv,4.8,active
444,sedan,4.4,inactive
445,suv,3.7,active
446,sedan,3.0,active
447,sedan,3.1,active
448,sedan,4.9,active
449,sedan,3.8,active
450,sedan,3.1,active
451,minivan,4.6,active
452,suv,3.2,inactive
453,sedan,4.3,active
454,suv,4.7,active
455,sedan,3.6,active
456,sedan,3.4,active
457,suv,3.7,active
458,suv,3.5,active
459,sedan,3.5,active
460,suv,4.7,active
461,sedan,4.4,active
462,suv,4.7,active
463,sedan,3.3,active
464,sedan,4.4,inactive
465,sedan,3.6,active
466,economy,3.2,active
467,sedan,4.9,active
468,sedan,4.8,active
469,suv,5.0,active
470,economy,3.7,active
471,suv,4.4,active
472,sedan,3.7,active
473,suv,3.1,active
474,economy,4.2,active
475,sedan,5.0,active
476,sedan,4.2,active
477,sedan,4.1,active
478,sedan,3.6,active
479,suv,3.6,inactive
480,suv,4.5,active
481,economy,4.4,active
482,suv,3.3,active
483,suv,3.3,active
484,sedan,3.8,active
485,suv,4.5,active
486,sedan,4.2,active
487,economy,4.5,active
488,suv,3.1,active
489,minivan,3.5,active
490,suv,4.4,active
491,sedan,4.9,active
492,sedan,3.3,inactive
493,sedan,4.7,active
494,sedan,4.6,active
495,sedan,3.5,active
496,sedan,4.6,active
497,sedan,3.3,active
498,sedan,3.4,active
499,suv,4.8,inactive
500,suv,3.5,active
